date,sku,bill_id,amount,count
2025-07-01,SKU_7,bill_1,1132.0,2
2025-07-01,SKU_7,bill_2,1674.0,3
2025-07-01,SKU_8,bill_3,199.0,1
2025-07-01,SKU_8,bill_4,920.0,4
2025-07-01,SKU_6,bill_5,869.0,1
2025-07-01,SKU_8,bill_6,2052.0,4
2025-07-01,SKU_6,bill_7,582.0,2
2025-07-01,SKU_5,bill_8,559.0,1
2025-07-01,SKU_10,bill_9,704.0,2
2025-07-01,SKU_9,bill_10,574.0,1
2025-07-01,SKU_10,bill_11,2300.0,4
2025-07-01,SKU_3,bill_12,2664.0,4
2025-07-02,SKU_9,bill_13,452.0,4
2025-07-02,SKU_2,bill_14,1752.0,2
2025-07-02,SKU_10,bill_15,997.0,1
2025-07-02,SKU_4,bill_16,1864.0,4
2025-07-02,SKU_7,bill_17,2432.0,4
2025-07-02,SKU_8,bill_18,402.0,3
2025-07-02,SKU_1,bill_19,2644.0,4
2025-07-02,SKU_8,bill_20,404.0,4
2025-07-02,SKU_6,bill_21,410.0,2
2025-07-03,SKU_2,bill_22,1310.0,2
2025-07-03,SKU_2,bill_23,738.0,2
2025-07-03,SKU_8,bill_24,1652.0,2
2025-07-03,SKU_9,bill_25,790.0,2
2025-07-03,SKU_5,bill_26,3392.0,4
2025-07-03,SKU_2,bill_27,456.0,3
2025-07-03,SKU_8,bill_28,632.0,2
2025-07-03,SKU_9,bill_29,114.0,1
2025-07-03,SKU_1,bill_30,938.0,1
2025-07-03,SKU_9,bill_31,912.0,4
2025-07-03,SKU_8,bill_32,648.0,4
2025-07-04,SKU_3,bill_33,1164.0,3
2025-07-04,SKU_5,bill_34,660.0,2
2025-07-04,SKU_10,bill_35,127.0,1
2025-07-04,SKU_7,bill_36,939.0,1
2025-07-04,SKU_2,bill_37,147.0,1
2025-07-04,SKU_7,bill_38,2019.0,3
2025-07-04,SKU_8,bill_39,198.0,1
2025-07-04,SKU_8,bill_40,1292.0,2
2025-07-04,SKU_1,bill_41,2136.0,3
2025-07-04,SKU_3,bill_42,104.0,1
2025-07-04,SKU_10,bill_43,2598.0,3
2025-07-04,SKU_7,bill_44,1476.0,3
2025-07-04,SKU_10,bill_45,1982.0,2
2025-07-05,SKU_7,bill_46,795.6,1
2025-07-05,SKU_4,bill_47,1401.6,2
2025-07-05,SKU_7,bill_48,3052.8,3
2025-07-05,SKU_4,bill_49,310.8,1
2025-07-05,SKU_7,bill_50,1231.2,3
2025-07-06,SKU_6,bill_51,609.6,4
2025-07-06,SKU_4,bill_52,1032.0,2
2025-07-06,SKU_10,bill_53,1609.2,3
2025-07-06,SKU_9,bill_54,1040.4,3
2025-07-06,SKU_1,bill_55,571.2,1
2025-07-06,SKU_9,bill_56,4051.2,4
2025-07-06,SKU_3,bill_57,2912.4,3
2025-07-06,SKU_8,bill_58,2692.8,3
2025-07-06,SKU_5,bill_59,1101.6,1
2025-07-06,SKU_10,bill_60,3662.4,4
